Date,TotalAdmissions,TotalReleases,YearlyNetChange
1/31/2014,3006,2945,28
2/28/2014,3139,2715,28
3/31/2014,3269,3144,28
4/30/2014,3421,3347,28
5/31/2014,3773,3203,28
6/30/2014,3201,3272,28
7/31/2014,3381,3310,28
8/31/2014,3320,3128,28
9/30/2014,3466,3191,28
10/31/2014,3515,3229,28
11/30/2014,2606,3129,28
12/31/2014,2744,4200,28
1/31/2015,2463,4618,-6598
2/28/2015,2827,3709,-6598
3/31/2015,2849,3794,-6598
4/30/2015,3008,3585,-6598
5/31/2015,2915,3389,-6598
6/30/2015,2984,3392,-6598
7/31/2015,3183,3290,-6598
8/31/2015,2882,3243,-6598
9/30/2015,2939,3188,-6598
10/31/2015,3073,3239,-6598
11/30/2015,2584,3061,-6598
12/31/2015,3303,3100,-6598
1/31/2016,2603,3076,1038
2/29/2016,2912,2803,1038
3/31/2016,3344,3046,1038
4/30/2016,3098,2865,1038
5/31/2016,3054,3012,1038
6/30/2016,3252,2943,1038
7/31/2016,2677,2851,1038
8/31/2016,3367,2957,1038
9/30/2016,3041,2867,1038
10/31/2016,3107,3026,1038
11/30/2016,2765,2808,1038
12/31/2016,3046,2974,1038
1/31/2017,2674,2864,785
2/28/2017,2991,2712,785
3/31/2017,3543,2933,785
4/30/2017,3161,2910,785
5/31/2017,3450,3036,785
6/30/2017,3263,2789,785
7/31/2017,3011,3196,785
8/31/2017,3524,3107,785
9/30/2017,3300,3105,785
10/31/2017,3250,3807,785
11/30/2017,2900,3258,785
12/31/2017,2712,3277,785
1/31/2018,2825,3475,-2526
2/28/2018,2703,2795,-2526
3/31/2018,3361,3219,-2526
4/30/2018,2671,3247,-2526
5/31/2018,3458,3196,-2526
6/30/2018,3084,2954,-2526
7/31/2018,3316,3409,-2526
8/31/2018,3103,3222,-2526
9/30/2018,2671,3023,-2526
10/31/2018,3152,3266,-2526
11/30/2018,2771,3193,-2526
12/31/2018,2803,3445,-2526
1/31/2019,2716,3476,-3369
2/28/2019,2580,2826,-3369
3/31/2019,3172,3069,-3369
4/30/2019,3093,3040,-3369
5/31/2019,3051,3776,-3369
6/30/2019,2956,3313,-3369
7/31/2019,3014,3090,-3369
8/31/2019,3030,3210,-3369
9/30/2019,2818,2947,-3369
10/31/2019,3177,3244,-3369
11/30/2019,2590,3024,-3369
12/31/2019,2702,3253,-3369
1/31/2020,2781,3081,-28890
2/29/2020,2429,2891,-28890
3/31/2020,2269,3098,-28890
4/30/2020,2,4627,-28890
5/31/2020,36,1556,-28890
6/30/2020,193,2879,-28890
7/31/2020,3,7520,-28890
8/31/2020,105,4695,-28890
9/30/2020,537,3620,-28890
10/31/2020,1377,2049,-28890
11/30/2020,1328,1943,-28890
12/31/2020,2,1993,-28890
1/31/2021,409,1817,-1599
2/28/2021,1063,1609,-1599
3/31/2021,1275,1822,-1599
4/30/2021,1540,1845,-1599
5/31/2021,1813,1758,-1599
6/30/2021,1949,2002,-1599
7/31/2021,2961,2457,-1599
8/31/2021,2833,2400,-1599
9/30/2021,2441,2744,-1599
10/31/2021,2398,2243,-1599
11/30/2021,2508,2359,-1599
12/31/2021,2904,2637,-1599
1/31/2022,432,3200,-3693
2/28/2022,1618,2834,-3693
3/31/2022,3474,3019,-3693
4/30/2022,3127,2581,-3693
5/31/2022,3220,2666,-3693
6/30/2022,2624,2590,-3693
7/31/2022,2192,2626,-3693
8/31/2022,2477,2571,-3693
9/30/2022,2449,2496,-3693
10/31/2022,2202,2601,-3693
11/30/2022,2285,2447,-3693
12/31/2022,2399,2561,-3693
1/31/2023,3183,3278,345
2/28/2023,2316,2353,345
3/31/2023,2880,2692,345
4/30/2023,2808,2570,345
5/31/2023,3126,1531,345
6/30/2023,2361,2622,345
7/31/2023,2390,2706,345
8/31/2023,2475,2765,345
9/30/2023,2308,2569,345
10/31/2023,2410,2697,345
11/30/2023,2323,2595,345
12/31/2023,2101,2648,345
1/31/2024,2167,2567,-2337
2/29/2024,2283,2447,-2337
3/31/2024,2085,2500,-2337
4/30/2024,2305,2488,-2337
5/31/2024,2480,2563,-2337
6/30/2024,2079,2466,-2337
7/31/2024,2263,2600,-2337
8/31/2024,2186,2392,-2337
9/30/2024,2372,2391,-2337
10/31/2024,2467,2610,-2337
